Code,Parent,Name,Latitude,Longitude,Postal
1101010,1101,"TEUPAH SELATAN",2.2738827445,96.513062697495,"23895,23898"
1101020,1101,"SIMEULUE TIMUR",2.5382471300006,96.316215958525,23891
1101021,1101,"TEUPAH BARAT",2.4483287785,96.220352578001,"23896,23897"
1101022,1101,"TEUPAH TENGAH",2.407087034502,96.346351218077,23899
1101030,1101,"SIMEULUE TENGAH",2.6260558764982,96.048626298931,23894
1101031,1101,"TELUK DALAM",2.6478292040003,96.153125367008,"23897,23890"
1101032,1101,"SIMEULUE CUT",2.6047916045046,95.934081918672,23895
1101040,1101,SALANG,2.6728654114999,95.854035678992,"23893,23896"
1101050,1101,"SIMEULUE BARAT",2.7946343975001,95.953281501003,23892
1101051,1101,ALAFAN,2.8612178494998,95.602882879992,"23898,23893"
1102010,1102,"PULAU BANYAK",2.2603235335002,97.375390389004,24791
1102011,1102,"PULAU BANYAK BARAT",2.1578773015,97.234976282997,"24792,24790"
1102020,1102,SINGKIL,2.3352877230009,97.804449892037,"24784,24785"
1102021,1102,"SINGKIL UTARA",2.2448669834998,98.006072678491,"24787,24791"
1102022,1102,"KUALA BARU",2.3614563289999,97.673419963496,"24788,24789"
1102030,1102,"SIMPANG KANAN",2.4079211740009,98.037092785538,"24783,24794"
1102031,1102,"GUNUNG MERIAH",2.3940494074995,97.964136358479,"24784,24783,24785,24793"
1102032,1102,"DANAU PARIS",2.3127871315005,98.112520645518,"24771,24784"
1102033,1102,SURO,2.530352222497,98.024271097878,"24772,24787"
1102042,1102,SINGKOHOR,2.5001323339985,97.940895222434,"24774,24773,24788"
1102043,1102,"KOTA BAHARU",2.4628439115002,97.858888223005,"24774,24792"
1103010,1103,TRUMON,2.6380753274995,97.708471569479,"23778,23774"
1103011,1103,"TRUMON TIMUR",2.8835366505007,97.81065261052,23776
1103012,1103,"TRUMON TENGAH",2.8942266124976,97.659239574422,"23777,23771,23775"
1103020,1103,BAKONGAN,2.9610274099967,97.456076244384,"23773,23777,23772"
1103021,1103,"BAKONGAN TIMUR",2.9111470265061,97.555684722692,"23777,23775"
1103022,1103,"KOTA BAHAGIA",3.0221733164998,97.552847016994,"23778,23774"
1103030,1103,"KLUET SELATAN",3.0294224160002,97.434325239508,"23773,23772"
1103031,1103,"KLUET TIMUR",3.23056178,97.459219341997,23779
1103040,1103,"KLUET UTARA",3.1287943749992,97.345608634968,"23771,23775"
1103041,1103,"PASIE RAJA",3.2297760445012,97.30675954553,23755
1103042,1103,"KLUET TENGAH",3.4035207454999,97.359011241495,"23756,23753,23770"
1103050,1103,"TAPAK TUAN",3.2880866155009,97.214927199028,"23711,23712,23713,23714,23715,23716,23717,23718,23719"
1103060,1103,"SAMA DUA",3.3551836169992,97.195743133473,"23754,23752"
1103070,1103,SAWANG,3.4351094220002,97.169694655004,"23757,23752,23753"
